Question,Topic
"39. for the 4 by 4 tridiagonal matrix (entries −1, 2, −1), find the five terms in the big formula that give deta=16−4−4−4+1.",determinants
"40. find the determinant of this cyclic p by cofactors of row 1. how many exchanges reorder 4, 1, 2, 3 into 1, 2, 3, 4? is |p2|=+1 or −1? [ ] [ ] 0 0 0 1 0 0 1 0 [ ] [ ] [1 0 0 0] [0 0 0 1] 0 i p=[ ] p2 =[ ]= . [0 1 0 0] [1 0 0 0] i 0 0 0 1 0 0 1 0 0",determinants
"41. a=2∗eye(n)−diag(ones(n−1, 1),1)−diag(ones(n−1, 1),−1) is the −1, 2, −1 matrix. change a(1,1) to 1 so deta = 1. predict the entries of a−1 based on n = 3 and test the prediction for n=4.",determinants
"42. (matlab) the −1, 2, −1 matrices have determinant n+1. compute (n+1)a−1 for n = 3 and 4, and verify your guess for n = 5. (inverses of tridiagonal matrices have the rank-1 form uvt above the diagonal.)",determinants
"43. allpascalmatriceshavedeterminant1. ifisubtract1fromthen,nentry,whydoes the determinant become zero? (use rule 3 or a cofactor.) [ ] [ ] 1 1 1 1 1 1 1 1 [ ] [ ] [1 2 3 4 ] [1 2 3 4 ] det[ ]=1(known) det[ ]=0(explain). [1 3 6 10] [1 3 6 10] 1 4 10 20 1 4 10 19",determinants
1. find the determinant and all nine cofactorsc of this triangular matrix: ij [ ] 1 2 3 [ ] a=[0 4 0]. 0 0 5 formct and verify that act =(deta)i. what is a−1?,determinants
2. use the cofactor matrixc to invert these symmetric matrices: [ ] [ ] 2 −1 0 1 1 1 [ ] [ ] a=[−1 2 −1] and b=[1 2 2]. 0 −1 2 1 2 3,determinants
"3. find x, y, and z by cramer’s rule in equation (4): x + 4y − z = 1 ax + by = 1 and x + y + z = 0 cx + dy = 0 2x + 3z = 0.",determinants
"4. (a) find the determinant when a vector x replaces column j of the identity (consider x =0 as a separate case): j [ ] 1 x 1 [ ] [ 1 · ] [ ] if m =[ x ] then detm = . j [ ] [ · 1 ] x 1 n (b) if ax=b, show that am is the matrix b in equation (4), with b in column j. j (c) derive cramer’s rule by taking determinants in am =b . j",determinants
"5. (a) draw the triangle with vertices a = (2,2), b = (−1,3), and c = (0,0). by regarding it as half of a parallelogram, explain why its area equals 1 2 2 area(abc)= det . 2 −1 3 (b) move the third vertex toc =(1,−4) and justify the formula [ ] [ ] x y 1 2 2 1 1 1 1 [ ] 1 [ ] area(abc)= det[x y 1]= det[−1 3 1]. 2 2 2 2 x y 1 1 −4 1 3 3 hint: subtracting the last row from each of the others leaves [ ] [ ] 2 2 1 1 6 0 [ ] [ ] 1 6 det[−1 3 1]=det[−2 7 0]=det . −2 7 1 −4 1 1 −4 1 sketch a =(1,6), b =(−2,7),c =(0,0) and their relation to a, b,c.",determinants
6. explain in terms of volumes why det3a=3ndeta for an n by n matrix a.,determinants
"7. predict in advance, and confirm by elimination, the pivot entries of [ ] [ ] 2 1 2 2 1 2 [ ] [ ] a=[4 5 0] and b=[4 5 3]. 2 7 0 2 7 0",determinants
"8. find all the odd permutations of the numbers {1,2,3,4}. they come from an odd number of exchanges and lead to detp=−1.",determinants
"9. suppose the permutation p takes (1,2,3,4,5) to (5,4,1,2,3). (a) what does p2 do to (1,2,3,4,5)? (b) what does p−1 do to (1,2,3,4,5)?",determinants
"10. if p is an odd permutation, explain why p2 is even but p−1 is odd.",determinants
"11. prove that if you keep multiplying a by the same permutation matrix p, the first row eventually comes back to its original place.",determinants
"12. if a is a 5 by 5 matrix with all |a | ≤ 1, then deta ≤ . volumes or the big ij formula or pivots should give some upper bound on the determinant. problems 13–17 are about cramer’s rule for x=a−1b.",determinants
13. solve these linear equations by cramer’s rule x =detb /deta: j j 2x + x = 1 1 2 2x + 5x = 1 1 2 (a) (b) x + 2x + x = 70 1 2 3 x + 4x = 2. 1 2 x + 2x = 0. 2 3,determinants
14. use cramer’s rule to solve for y (only). call the 3 by 3 determinant d: ax + by + cz = 1 ax + by = 1 (a) (b) dx + ey − fz = 0 cx + dy = 0. gx + hy + iz = 0.,determinants
"15. cramer’s rule breaks down when deta = 0. example (a) has no solution, whereas (b) has infinitely many. what are the ratios x =detb /deta? j j 2x +3x =1 2x +3x =1 1 2 1 2 (a) (parallel lines) (b) (same line) 4x +6x =1. 4x +6x =2. 1 2 1 2",determinants
"16. quick proof of cramer’s rule. the determinant is a linear function of column 1. it is zeroiftwocolumnsareequal. whenb=ax=x a +x a +x a goesintocolumn 1 1 2 2 3 3 1 to produce b , the determinant is 1b a ax a +x a +x a a a=xa a a=x deta. 2 3 1 1 2 2 3 3 2 3 1 1 2 3 1 (a) what formula for x comes from left side = right side? 1 (b) what steps lead to the middle equation?",determinants
"17. if the right side b is the last column of a, solve the 3 by 3 system ax = b. explain how each determinant in cramer’s rule leads to your solution x. problems 18–26 are about a−1 =ct/deta. remember to transposec.",determinants
18. find a−1 from the cofactor formulact/deta. use symmetry in part (b): [ ] [ ] 1 2 0 2 −1 0 [ ] [ ] (a) a=[0 3 0]. (b) a=[−1 2 −1]. 0 4 1 0 −1 2,determinants
"19. if all the cofactors are zero, how do you know that a has no inverse? if none of the cofactors are zero, is a sure to be invertible?",determinants
"20. find the cofactors of a and multiply act to find deta: [ ] [ ] 1 1 4 6 −3 0 [ ] [ ] a=[1 2 2], c =[· · ·], and act = . 1 2 5 · · · if you change that corner entry from 4 to 100, why is deta unchanged?",determinants
21. suppose deta=1 and you know all the cofactors. how can you find a?,determinants
22. from the formula act =(deta)i show that detc =(deta)n−1.,determinants
"23. (for professors only) if you know all 16 cofactors of a 4 by 4 invertible matrix a, how would you find a?",determinants
"24. if all entries of a are integers, and deta = 1 or −1, prove that all entries of a−1 are integers. give a 2 by 2 example.",determinants
25. l is lower triangular and s is symmetric. assume they are invertible: [ ] [ ] a 0 0 a b d [ ] [ ] l=[b c 0] s=[b c e]. d e f d e f (a) which three cofactors of l are zero? then l−1 is lower triangular. (b) which three pairs of cofactors of s are equal? then s−1 is symmetric.,determinants
26. for n = 5 the matrix c contains cofactors and each 4 by 4 cofactor contains terms and each term needs multiplications. compare with 53 = 125 for the gauss-jordan computation of a−1. problems 27–36 are about area and volume by determinants.,determinants
"27. (a) find the area of the parallelogram with edges v=(3,2) and w=(1,4). (b) find the area of the triangle with sides v, w, and v+w. draw it. (c) find the area of the triangle with sides v, w, and w−v. draw it.",determinants
"28. a box has edges from (0,0,0) to (3,1,1), (1,3,1), and (1,1,3). find its volume and also find the area of each parallelogram face.",determinants
"29. (a) the corners of a triangle are (2,1), (3,4), and (0,5). what is the area? (b) a new corner at (−1,0) makes it lopsided (four sides). find the area.",determinants
"30. the parallelogram with sides (2,1) and (2,3) has the same area as the parallelogram with sides (2,2) and (1,3). find those areas from 2 by 2 determinants and say why they must be equal. (i can’t see why from a picture. please write to me if you do.)",determinants
31. the hadamard matrix h has orthogonal rows. the box is a hypercube! 1 1 1 11 1 −1 − what is deth =volume of a hypercube in r4?1 −1 −1 1 1 −1 1 −1,determinants
"32. if the columns of a 4 by 4 matrix have lengths l , l , l , l , what is the largest 1 2 3 4 possible value for the determinant (based on volume)? if all entries are 1 or −1, what are those lengths and the maximum determinant?",determinants
33. show by a picture how a rectangle with area x y minus a rectangle with area x y 1 2 2 1 produces the area x y −x y of a parallelogram. 1 2 2 1,determinants
"34. when the edge vectors a, b, c are perpendicular, the volume of the box is (cid:107)a(cid:107) times (cid:107)b(cid:107) times (cid:107)c(cid:107). the matrix ata is . find detata and deta.",determinants
35. an n-dimensional cube has how many corners? how many edges? how many (n− 1)-dimensional faces? the n-cube whose edges are the rows of 2i has volume . a hypercube computer has parallel processors at the corners with connections along the edges.,determinants
"36. the triangle with corners (0,0), (1,0), (0,1) has area 1. the pyramid with four 2 corners (0,0,0), (1,0,0), (0,1,0), (0,0,1) has volume . the pyramid in r4 with five corners at (0,0,0,0) and the rows of i has what volume? problems 37–40 are about areas da and volumes dv in calculus.",determinants
37. polar coordinates satisfy x=rcosθand y=rsinθ. polar area j dr dθincludes j:∂x/∂r ∂x/∂cosθ −rsin j .∂y/∂r ∂y/∂sinθ rcosθ the two columns are orthogonal. their lengths are . thus j = .,determinants
"38. spherical coordinates ρ, φ, θ give x = ρsinφcosθ, y = ρsinφsinθ, z = ρcosφ. find the jacobian matrix of 9 partial derivatives: ∂x/∂ρ,∂x/∂φ,∂x/∂θ are in row. 1. simplify its determinant to j =ρ2sinφ. then dv =ρ2sinφdρdφdθ.",determinants
"39. the matrix that connects r,θto x, y is in problem 37. invert that matrix:∂r/∂x ∂r/∂cosθ  j−1 =?∂θ/∂x ∂θ/∂ ?  it is surprising that∂r/∂x=∂x/∂r. the product jj−1 =i gives the chain rule ∂x ∂x∂r ∂x ∂θ = + =1. ∂x ∂r∂x ∂θ∂x",determinants
"40. the triangle with corners (0,0), (6,0), and (1,4) has area . when you rotate it byθ=60° the area is . the rotation matrix hascosθ −sin1  determinant2=?sinθ cosθ? ",determinants
"41. let p = (1,0,−1), q = (1,1,1), and r = (2,2,1). choose s so that pqrs is a parallelogram, and compute its area. choose t,u,v so that opqrstuv is a tilted box, and compute its volume.",determinants
"42. suppose (x,y,z), (1,1,0), and (1,2,1) lie on a plane through the origin. what deter- minant is zero? what equation does this give for the plane?",determinants
"43. suppose (x,y,z) is a linear combination of (2,3,1) and (1,2,3). what determinant is zero? what equation does this give for the plane of all combinations?",determinants
"44. if ax=(1,0,...,0) show how cramer’s rule gives x= first column of a−1.",determinants
"45. (visatoavis)thistakesanoddnumberofexchanges(ivsa,avsi,avis).count the pairs of letters in visa and avis that are reversed from alphabetical order. the difference should be odd. review exercises",determinants
4.1 find the determinants of [ ] [ ] 1 1 1 1 2 −1 0 −1 [ ] [ ] [1 1 1 2] [−1 2 −1 0 ] [ ] and [ ]. [1 1 3 1] [ 0 −1 2 −1] 1 4 1 1 −1 0 −1 2,determinants
"4.2 if b=m−1am, why is detb=deta? show also that deta−1b=1.",determinants
"4.3 starting with a, multiply its first row by 3 to produce b, and subtract the first row of b from the second to producec. how is detc related to deta?",determinants
"4.4 solve 3u+2v=7, 4u+3v=11 by cramer’s rule.",determinants
"4.5 iftheentriesofaanda−1 areallintegers,howdoyouknowthatbothdeterminants are 1 or −1? hint: what is deta times deta−1?",determinants
"4.6 find all the cofactors, and the inverse or the nullspace, of 3 5 cosθ −sinθ a b , , and . 6 9 sinθ cosθ a b",determinants
"4.7 whatisthevolumeoftheparallelepipedwithfourofitsverticesat(0,0,0),(−1,2,2), (2,−1,2), and (2,2,−1)? where are the other four vertices?",determinants
"4.8 how many terms are in the expansion of a 5 by 5 determinant, and how many are sure to be zero if a =0? 21",determinants
"4.9 if p is an even permutation matrix and p is odd, deduce from p +p = p (pt+ 1 2 1 2 1 1 pt)p that det(p +p )=0. 2 2 1 2",determinants
"4.10 if deta > 0, show that a can be connected to i by a continuous chain of matrices a(t) all with positive determinants. (the straight path a(t) = a+t(i−a) does go from a(0)= a to a(1)= i, but in between a(t) might be singular. the problem is not so easy, and solutions are welcomed by the author.)",determinants
"4.11 explain why the point (x,y) is on the line through (2,8) and (4,7) if [ ] x y 1 [ ] det[2 8 1]=0, or x+2y−18=0. 4 7 1",determinants
"4.12 in analogy with the previous exercise, what is the equation for (x,y,z) to be on the plane through (2,0,0), (0,2,0), and (0,0,4)? it involves a 4 by 4 determinant.",determinants
"4.13 if the points (x,y,z), (2,1,0), and (1,1,1) lie on a plane through the origin, what determinant is zero? are the vectors (1,0,−1), (2,1,0), (1,1,1) independent?",determinants
"4.14 if every row of a has either a single +1, or a single −1, or one of each (and is otherwise zero), show that deta=1 or −1 or 0.  ",determinants
"4.15 ifc = a b and d=[u v], thencd=−dc yields 4 equations ax=0: c d w z [ ][ ] [ ] 2a c b 0 u 0 [ ][ ] [ ] [ b a+d 0 b ][v] [0] cd+dc =0 is [ ][ ]=[ ]. [ c 0 a+d c ][w] [0] 0 c b 2d z 0 (a) show that deta=0 if a+d =0. solve for u, v, w, z, the entries of d. (b) show that deta=0 if ad =bc (soc is singular). in all other cases,cd=−dc is only possible with d= zero matrix.",determinants
"4.16 thecircularshiftpermutes(1,2,...,n)into(2,3,...,1). whatisthecorresponding permutation matrix p, and (depending on n) what is its determinant?",determinants
4.17 find the determinant of a = eye(5) + ones(5) and if possible eye(n) + ones(n). 5 chapter eigenvalues and eigenvectors,determinants
"1. find the eigenvalues and eigenvectors of the matrix a= 1 −1 . verify that the trace 2 4 equals the sum of the eigenvalues, and the determinant equals their product.  ",eigenvalues and eigenvectors
"2. with the same matrix a, solve the differential equation du/dt = au, u(0) = 0 . 6 what are the two pure exponential solutions?",eigenvalues and eigenvectors
"3. if we shift to a−7i, what are the eigenvalues and eigenvectors and how are they related to those of a? −6 −1 b=a−7i = . 2 −3",eigenvalues and eigenvectors
"4. solve du/dt =pu, when p is a projection: du 1 1 5 = 2 2 u with u(0)= . dt 1 1 3 2 2 part of u(0) increases exponentially while the nullspace part stays fixed.",eigenvalues and eigenvectors
5. find the eigenvalues and eigenvectors of [ ] [ ] 3 4 2 0 0 2 [ ] [ ] a=[0 1 2] and b=[0 2 0]. 0 0 0 2 0 0 check thatλ +λ +λ equals the trace andλ λ λ equals the determinant. 1 2 3 1 2 3,eigenvalues and eigenvectors
6. giveanexampletoshowthattheeigenvaluescanbechangedwhenamultipleofone row is subtracted from another. why is a zero eigenvalue not changed by the steps of elimination?,eigenvalues and eigenvectors
"7. suppose thatλ is an eigenvalue of a, and x is its eigenvector: ax=λx. (a) show that this same x is an eigenvector of b = a−7i, and find the eigenvalue. this should confirm exercise 3. (b) assumingλ=0, show that x is also an eigenvector of a−1—and find the eigen- value.",eigenvalues and eigenvectors
"8. show that the determinant equals the product of the eigenvalues by imagining that the characteristic polynomial is factored into det(a−λi)=(λ −λ)(λ −λ)···(λ −λ), (16) 1 2 n and making a clever choice ofλ.",eigenvalues and eigenvectors
"9. show that the trace equals the sum of the eigenvalues, in two steps. first, find the coefficient of (−λ)n−1 on the right side of equation (16). next, find all the terms in [ ] a −λ a ··· a 11 12 1n [ ] [ a 21 a 22−λ ··· a 2n ] det(a−λi)=det[ . . . ] [ . . . . . . ] a a ··· a −λ n1 n2 nn that involve (−λ)n−1. they all come from the main diagonal! find that coefficient of (−λ)n−1 and compare.",eigenvalues and eigenvectors
"10. (a) construct 2 by 2 matrices such that the eigenvalues of ab are not the products of the eigenvalues of a and b, and the eigenvalues of a+b are not the sums of the individual eigenvalues. (b) verify, however, that the sum of the eigenvalues of a+b equals the sum of all the individual eigenvalues of a and b, and similarly for products. why is this true?",eigenvalues and eigenvectors
11. the eigenvalues of a equal the eigenvalues of at. this is because det(a−λi) equals det(at−λi). that is true because . show by an example that the eigen- vectors of a and at are not the same.,eigenvalues and eigenvectors
12. find the eigenvalues and eigenvectors of 3 4 a b a= and a= . 4 −3 b a,eigenvalues and eigenvectors
"13. if b has eigenvalues 1, 2, 3,c has eigenvalues 4, 5, 6, and d has eigenvalues 7, 8, 9,   what are the eigenvalues of the 6 by 6 matrix a= b c ? 0 d",eigenvalues and eigenvectors
14. find the rank and all four eigenvalues for both the matrix of ones and the checker board matrix: [ ] [ ] 1 1 1 1 0 1 0 1 [ ] [ ] [1 1 1 1] [1 0 1 0] a=[ ] and c =[ ]. [1 1 1 1] [0 1 0 1] 1 1 1 1 1 0 1 0 which eigenvectors correspond to nonzero eigenvalues?,eigenvalues and eigenvectors
15. whataretherankandeigenvalueswhenaandc inthepreviousexercisearenbyn? remember that the eigenvalueλ=0 is repeated n−r times.,eigenvalues and eigenvectors
"16. if a is the 4 by 4 matrix of ones, find the eigenvalues and the determinant of a−i.",eigenvalues and eigenvectors
17. choose the third row of the “companion matrix” [ ] 0 1 0 [ ] a=[0 0 1] · · · so that its characteristic polynomial |a−λi| is −λ3+4λ2+5λ+6.,eigenvalues and eigenvectors
"18. suppose a has eigenvalues 0, 3, 5 with independent eigenvectors u, v, w. (a) give a basis for the nullspace and a basis for the column space. (b) find a particular solution to ax=v+w. find all solutions. (c) show that ax = u has no solution. (if it had a solution, then would be in the column space.)",eigenvalues and eigenvectors
"19. the powers ak of this matrix a approaches a limit as k →∞: .8 .3 .70 .45 .6 .6 a= , a2 = , and a∞ = . .2 .7 .30 .55 .4 .4 the matrix a2 is halfway between a and a∞. explain why a2 = 1(a+a∞) from the 2 eigenvalues and eigenvectors of these three matrices.",eigenvalues and eigenvectors
20. find the eigenvalues and the eigenvectors of these two matrices: 1 4 2 4 a= and a+i = . 2 3 2 4 a+i has the eigenvectors as a. its eigenvalues are by 1.,eigenvalues and eigenvectors
"21. compute the eigenvalues and eigenvectors of a and a−1: 0 2 −3/4 1/2 a= and a−1 = . 2 3 1/2 0 a−1 has the eigenvectors as a. when a has eigenvalues λ and λ , its inverse 1 2 has eigenvalues .",eigenvalues and eigenvectors
"22. compute the eigenvalues and eigenvectors of a and a2: −1 3 7 −3 a= and a2 = . 2 0 −2 6 a2 has the same as a. when a has eigenvalues λ and λ , a2 has eigenvalues 1 2 .",eigenvalues and eigenvectors
"23. (a) if you know x is an eigenvector, the way to findλ is to . (b) if you knowλ is an eigenvalue, the way to find x is to .",eigenvalues and eigenvectors
"24. what do you do to ax=λx, in order to prove (a), (b), and (c)? (a) λ2 is an eigenvalue of a2, as in problem 22. (b) λ−1 is an eigenvalue of a−1, as in problem 21. (c) λ+1 is an eigenvalue of a+i, as in problem 20. ",eigenvalues and eigenvectors
"25. fromtheunitvectoru= 1,1,3,5 ,constructtherank-1projectionmatrixp=uut. 6 6 6 6 (a) show that pu=u. then u is an eigenvector withλ=1. (b) if v is perpendicular to u show that pv= zero vector. thenλ=0. (c) find three independent eigenvectors of p all with eigenvalueλ=0.",eigenvalues and eigenvectors
"26. solve det(q−λi)=0 by the quadratic formula, to reachλ=cosθ±isinθ: cosθ −sinθ q= rotates the xy-plane by the angleθ. sinθ cosθ find the eigenvectors of q by solving (q−λi)x=0. use i2 =−1.",eigenvalues and eigenvectors
"27. every permutation matrix leaves x=(1,1,...,1) unchanged. thenλ=1. find two moreλ’s for these permutations: [ ] [ ] 0 1 0 0 0 1 [ ] [ ] p=[0 0 1] and p=[0 1 0]. 1 0 0 1 0 0",eigenvalues and eigenvectors
"28. ifahasλ =4andλ =5, thendet(a−λi)=(λ−4)(λ−5)=λ2−9λ+20. find 1 2 three matrices that have trace a+d =9, determinant 20, andλ=4,5.",eigenvalues and eigenvectors
"29. a 3 by 3 matrix b is known to have eigenvalues 0, 1, 2, this information is enough to find three of these: (a) the rank of b, (b) the determinant of btb, (c) the eigenvalues of btb, and (d) the eigenvalues of (b+i)−1.",eigenvalues and eigenvectors
30. choose the second row of a=[0 1] so that a has eigenvalues 4 and 7. ∗ ∗,eigenvalues and eigenvectors
"31. choose a, b, c, so that det(a−λi)=9λ−λ3. then the eigenvalues are −3, 0, 3: [ ] 0 1 0 [ ] a=[0 0 1]. a b c",eigenvalues and eigenvectors
"32. construct any 3 by 3 markov matrix m: positive entries down each column add to 1. if e = (1,1,1), verify that mte = e. by problem 11, λ= 1 is also an eigenvalue of m. challenge: a 3 by 3 singular markov matrix with trace 1 has eigenvalues 2 λ= .",eigenvalues and eigenvectors
33. find three 2 by 2 matrices that haveλ =λ =0. the trace is zero and the determi- 1 2 nant is zero. the matrix a might not be 0 but check that a2 =0.,eigenvalues and eigenvectors
34. this matrix is singular with rank 1. find threeλ’s and three eigenvectors: [ ] [ ] 1 2 1 2   [ ] [ ] a=[2] 2 1 2 =[4 2 4]. 1 2 1 2,eigenvalues and eigenvectors
"35. suppose a and b have the same eigenvalues λ ,...,λ with the same independent 1 n eigenvectors x ,...,x . then a = b. reason: any vector x is a combination c x + 1 n 1 1 ···+c x . what is ax? what is bx? n n",eigenvalues and eigenvectors
"36. find the eigenvalues of a, b, andc: [ ] [ ] [ ] 1 2 3 0 0 1 2 2 2 [ ] [ ] [ ] a=[0 4 5], b=[0 2 0], and c =[2 2 2]. 0 0 6 3 0 0 2 2 2",eigenvalues and eigenvectors
"37. when a+b=c+d, show that (1,1) is an eigenvector and find both eigenvalues: a b a= . c d",eigenvalues and eigenvectors
"38. whenpexchangesrows1and2and columns1and2, theeigenvaluesdon’tchange. find eigenvectors of a and pap forλ=11: [ ] [ ] 1 2 1 6 3 3 [ ] [ ] a=[3 6 3] and pap=[2 1 1]. 4 8 4 8 4 4",eigenvalues and eigenvectors
39. challenge problem: is there a real 2 by 2 matrix (other than i) with a3 = i? its eigenvalues must satisfy λ3 = i. they can be e2πi/3 and e−2πi/3. what trace and determinant would this give? construct a.,eigenvalues and eigenvectors
40. there are six 3 by 3 permutation matrices p. what numbers can be the determinants of p? what numbers can be pivots? what numbers can be the trace of p? what four numbers can be eigenvalues of p?,eigenvalues and eigenvectors
1. factor the following matrices into sλs−1: 1 1 2 1 a= and a= . 1 1 0 0  ,eigenvalues and eigenvectors
"2. find the matrix a whose eigenvalues are 1 and 4, and whose eigenvectors are 3   1 and 2 , respectively. (hint: a=sλs−1.) 1",eigenvalues and eigenvectors
3. find all the eigenvalues and eigenvectors of [ ] 1 1 1 [ ] a=[1 1 1] 1 1 1 and write two different diagonalizing matrices s.,eigenvalues and eigenvectors
"4. if a 3 by 3 upper triangular matrix has diagonal entries 1, 2, 7, how do you know it can be diagonalized? what is λ?",eigenvalues and eigenvectors
5.2 diagonalizationofamatrix 279,eigenvalues and eigenvectors
5. which of these matrices cannot be diagonalized? 2 −2 2 0 2 0 a = a = a = . 1 2 3 2 −2 2 −2 2 2,eigenvalues and eigenvectors
"6. (a) if a2 =i, what are the possible eigenvalues of a? (b) if this a is 2 by 2, and not i or −i, find its trace and determinant. (c) if the first row is (3,−1), what is the second row?  ",eigenvalues and eigenvectors
"7. if a= 4 3 , find a100 by diagonalizing a. 1 2",eigenvalues and eigenvectors
"8. suppose a=uvt is a column times a row (a rank-1 matrix). (a) by multiplying a times u, show that u is an eigenvector. what isλ? (b) what are the other eigenvalues of a (and why)? (c) compute trace(a) from the sum on the diagonal and the sum ofλ’s.",eigenvalues and eigenvectors
9. show by direct calculation that ab and ba have the same trace when a b q r a= and b= . c d s t deduce that ab−ba=i is impossible (except in infinite dimensions).,eigenvalues and eigenvectors
"10. suppose a has eigenvalues 1, 2, 4. what is the trace of a2? what is the determinant of (a−1)t?",eigenvalues and eigenvectors
"11. iftheeigenvaluesofaare1, 1, 2, whichofthefollowingarecertaintobetrue? give a reason if true or a counterexample if false: (a) a is invertible. (b) a is diagonalizable. (c) a is not diagonalizable.",eigenvalues and eigenvectors
"12. suppose the only eigenvectors of a are multiples of x=(1,0,0). true or false: (a) a is not invertible. (b) a has a repeated eigenvalue. (c) a is not diagonalizable.  ",eigenvalues and eigenvectors
13. diagonalizethematrixa= 5 4 andfindoneofitssquareroots—amatrixsuchthat 4 5 r2 =a. how many square roots will there be?,eigenvalues and eigenvectors
14. suppose the eigenvector matrix s has st =s−1. show that a=sλs−1 is symmetric and has orthogonal eigenvectors. problems 15–24 are about the eigenvalue and eigenvector matrices.,eigenvalues and eigenvectors
15. factor these two matrices into a=sλs−1: 1 2 1 1 a= and a= . 0 3 2 2,eigenvalues and eigenvectors
16. if a=sλs−1 then a3 =( )( )( ) and a−1 =( )( )( ).    ,eigenvalues and eigenvectors
"17. if a has λ = 2 with eigenvector x = 1 and λ = 5 with x = 1 , use sλs−1 to 1 1 0 2 2 1 find a. no other matrix has the sameλ’s and x’s.",eigenvalues and eigenvectors
18. suppose a = sλs−1. what is the eigenvalue matrix for a+2i? what is the eigen- vector matrix? check that a+2i =( )( )( )−1.,eigenvalues and eigenvectors
"19. true or false: if the n columns of s (eigenvectors of a) are independent, then (a) a is invertible. (b) a is diagonalizable. (c) s is invertible. (d) s is diagonalizable.",eigenvalues and eigenvectors
"20. if the eigenvectors of a are the columns of i, then a is a matrix. if the eigen- vector matrix s is triangular, then s−1 is triangular and a is triangular.",eigenvalues and eigenvectors
21. describe all matrices s that diagonalize this matrix a: 4 0 a= . 1 2 then describe all matrices that diagonalize a−1.    ,eigenvalues and eigenvectors
22. write the most general matrix that has eigenvectors 1 and 1 . 1 −1,eigenvalues and eigenvectors
"23. find the eigenvalues of a and b and a+b: 1 0 1 1 2 1 a= , b= , a+b= . 1 1 0 1 1 2 eigenvalues of a+b (are equal to)(are not equal to) eigenvalues of a plus eigenval- ues of b.",eigenvalues and eigenvectors
"24. find the eigenvalues of a, b, ab, and ba: 1 0 1 1 1 1 2 1 a= , b= , ab= , and ba= . 1 1 0 1 1 2 1 1 eigenvaluesofab(areequalto)(arenotequalto)eigenvaluesofatimeseigenvalues of b. eigenvalues of ab (are)(are not) equal to eigenvalues of ba.",eigenvalues and eigenvectors
"25. true or false: if the eigenvalues of a are 2, 2, 5, then the matrix is certainly (a) invertible. (b) diagonalizable. (c) not diagonalizable.",eigenvalues and eigenvectors
"26. if the eigenvalues of a are 1 and 0, write everything you know about the matrices a and a2.",eigenvalues and eigenvectors
"27. complete these matrices so that deta=25. then trace=10, andλ=5 is repeated! find an eigcnvector with ax=5x. these matrices will nothe diagonalizabie because there is no second line of eigenvectors. 8 9 4 10 5 a= , a= , and a= . 2 1 −5  ",eigenvalues and eigenvectors
28. the matrix a = 3 1 is not diagonalizable because the rank of a−3i is . 0 3 change one entry to make a diagonalizable. which entries could you change? problems 29–33 are about powers of matrices.,eigenvalues and eigenvectors
29. ak =sλks−1 approachesthezeromatrixask→∞ifandonlyifeveryλhasabsolute value less than . does ak →0 or bk →0? .6 .4 .6 .9 a= and b= . .4 .6 .1 .6,eigenvalues and eigenvectors
30.  find λ and s to diagonalize a in problem 29. what is the limit of λk as k → ∞? what is the limit of sλks−1? in the columns of this limiting matrix you see the .,eigenvalues and eigenvectors
"31. find λ and s to diagonalize b in problem 29. what is b10u for these u ? 0 0 3 3 6 u = , u = , and u = . 0 0 0 1 −1 0",eigenvalues and eigenvectors
32. diagonalize a and compute sλks−1 to prove this formula for ak: 2 1 1 3k+1 3k−1 a= has ak = . 1 2 2 3k−1 3k+1,eigenvalues and eigenvectors
33. diagonalize b and compute sλks−1 to prove this formula for bk: 3 1 3k 3k−2k b= has bk = . 0 2 0 2k problems 34–44 are new applications of a=sλs−1.,eigenvalues and eigenvectors
34. supposethata=sλs−1. takedeterminantstoprovethatdeta=λ λ ···λ =prod- 1 2 n uct ofλ’s. this quick proof only works when a is .,eigenvalues and eigenvectors
"35. the trace of s times λs−1 equals the trace of λs−1 times s. so the trace of a diago- nalizable a equals the trace of λ, which is .  ",eigenvalues and eigenvectors
"36. if a = sλs−1, diagonalize the block matrix b = a 0 . find its eigenvalue and 0 2a eigenvector matrices.",eigenvalues and eigenvectors
37. consider all 4 by 4 matrices a that are diagonalized by the same fixed eigenvector matrix s. show that the a’s form a subspace (ca and a +a have this same s). 1 2 what is this subspace when s=i? what is its dimension?,eigenvalues and eigenvectors
"38. suppose a2 =a. on the left side a multiplies each column of a. which of our four subspaces contains eigenvectors withλ=1? which subspace contains eigenvectors withλ=0? fromthedimensionsofthosesubspaces, ahasafullsetofindependent eigenvectors and can be diagonalized.",eigenvalues and eigenvectors
"39. suppose ax = λx. if λ = 0, then x is in the nullspace. if λ = 0, then x is in the column space. those spaces have dimensions (n−r)+r =n. so why doesn’t every square matrix have n linearly independent eigenvectors?",eigenvalues and eigenvectors
"40. substitute a = sλs−1 into the product (a−λ i)(a−λ i)···(a−λ i) and explain 1 2 n why this produces the zero matrix. we are substituting the matrix a for the number λ in the polynomial p(λ) = det(a−λi). the cayley-hamilton theorem says that this product is always p(a)= zero matrix, even if a is not diagonalizable.  ",eigenvalues and eigenvectors
"41. test the cayley-hamilton theorem on fibonacci’s matrix a = 1 1 . the theorem 1 0 predicts that a2−a−i =0, since det(a−λi) isλ2−λ−1.  ",eigenvalues and eigenvectors
